;name;room;seats;address;lon;lat
162;Filmrauschpalast;1;44;Kulturfabrik Lehrter Straße 35 10557 Berlin Tiergarten;13,35971;52,53444
163;Filmtheater am Friedrichshain;1;323;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
164;Filmtheater am Friedrichshain;2;213;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
165;Filmtheater am Friedrichshain;3;98;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
166;Filmtheater am Friedrichshain;4;113;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
167;Filmtheater am Friedrichshain;5;129;Bötzwstraße 1-5 10407 Berlin Prenzlauer Berg;13,430911;52,5290254
168;Friedrichstadt-Palast;1;173;Friedrichstraße 107 10117 Berlin MitteHomepage BerlinaleHomepage Friedrichstadt-Palast;13,388064;52,523911
169;fsk am Oranienplatz;1;100;Segitzdamm 2 10969 Berlin Kreuzberg (030) 614 031 95 (Programm);13,4146452;52,5017686
170;fsk am Oranienplatz;2;57;Segitzdamm 2 10969 Berlin Kreuzberg (030) 614 031 95 (Programm);13,4146452;52,5017686
171;Gropius Passagen;1;184;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
172;Gropius Passagen;2;172;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
173;Gropius Passagen;3;200;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
174;Gropius Passagen;4;491;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
175;Gropius Passagen;5;324;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
176;Gropius Passagen;6;334;Gropius Passage Johannisthaler Chaussee 295 12351 Berlin Neukölln;13,4575206;52,4315707
177;Hackesche Höfe Kino;1;274;Rosenthaler Straße 40-41 10178 Berlin Mitte;13,4025359;52,5240131
178;Hackesche Höfe Kino;2;100;Rosenthaler Straße 40-41 10178 Berlin Mitte;13,4025359;52,5240131
